Open High Low Close Volume nTrades Value
12628 12628 12628 12628 982493 982 12406921604
12628 12628 12628 12628 23030 34 290822840
12628 12628 12628 12628 33558 56 423770424
12628 12628 12628 12628 26961 37 340463508
12628 12628 12628 12628 21600 31 272764800
12628 12628 12628 12628 14672 18 185278016
12628 12628 12628 12628 13120 20 165679360
12628 12628 12628 12628 14430 23 182222040
12628 12628 12628 12628 8000 12 101024000
12628 12628 12628 12628 4141 7 52292548
12628 12628 12628 12628 1800 5 22730400
12628 12628 12628 12628 1000 2 12628000
12628 12628 12628 12628 2850 5 35989800
12628 12628 12628 12628 2200 3 27781600
12628 12628 12628 12628 7950 11 100392600
12628 12628 12628 12628 4800 9 60614400
12628 12628 12628 12628 2715 8 34285020
12628 12628 12628 12628 3608 5 45561824
12628 12628 12628 12628 6340 8 80061520
12628 12628 12628 12628 5939 12 74997692
12628 12628 12628 12628 6600 5 83344800
12628 12628 12628 12628 3020 8 38136560
12628 12628 12628 12628 7435 20 93889180
12628 12628 12628 12628 4172 15 52684016
12628 12628 12628 12628 8642 18 109131176
12628 12628 12628 12628 6610 8 83471080
12628 12628 12628 12628 4100 8 51774800
12628 12628 12628 12628 4050 5 51143400
12628 12628 12628 12628 6201 7 78306228
12628 12628 12628 12628 6100 5 77030800
12628 12628 12628 12628 3900 5 49249200
12628 12628 12628 12628 10435 11 131773180
12628 12628 12628 12628 3678 6 46445784
12628 12628 12628 12628 7882 8 99533896
12628 12628 12628 12628 5687 6 71815436
12628 12628 12628 12628 3637 5 45928036
12628 12628 12628 12628 3100 5 39146800
12628 12628 12628 12628 2000 2 25256000
12628 12628 12628 12628 6250 6 78925000
12628 12628 12628 12628 12030 8 151914840
12628 12628 12628 12628 6250 7 78925000
12628 12628 12628 12628 5000 5 63140000
12628 12628 12628 12628 4100 5 51774800
12628 12628 12628 12628 1700 3 21467600
12628 12628 12628 12628 2300 3 29044400
12628 12628 12628 12628 1600 4 20204800
12628 12628 12628 12628 926 3 11693528
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 1400 2 17679200
12628 12628 12628 12628 1800 2 22730400
12628 12628 12628 12628 1600 2 20204800
12628 12628 12628 12628 300 2 3788400
12628 12628 12628 12628 500 2 6314000
12628 12628 12628 12628 1300 2 16416400
12628 12628 12628 12628 850 1 10733800
12628 12628 12628 12628 441 1 5568948
12628 12628 12628 12628 3263 7 41205164
12628 12628 12628 12628 400 1 5051200
12628 12628 12628 12628 70 1 883960
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 300 1 3788400
12628 12628 12628 12628 800 3 10102400
12628 12628 12628 12628 1570 2 19825960
12628 12628 12628 12628 400 1 5051200
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 5900 3 74505200
12628 12628 12628 12628 10 1 126280
12628 12628 12628 12628 1030 4 13006840
12628 12628 12628 12628 4200 2 53037600
12628 12628 12628 12628 1190 2 15027320
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 900 1 11365200
12628 12628 12628 12628 3800 3 47986400
12628 12628 12628 12628 1976 2 24952928
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 48 2 606144
12628 12628 12628 12628 250 4 3157000
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 50 1 631400
12628 12628 12628 12628 350 1 4419800
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 100 1 1262800
12628 12628 12628 12628 1608 1 20305824
12628 12628 12628 12628 129 1 1629012
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 173 1 2184644
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 500 1 6314000
